Address;Price;Beds;Baths;Sizes
4954 Mammoth Ave, Sherman Oaks, CA 91423;$1,995,000;3;3;2,259sqft
3721 S Parker St, San Pedro, CA 90731;$1,759,000;5;2.5;2,261sqft
18651 Gledhill St, Northridge, CA 91324;$1,250,000;5;2;2,373sqft
10776 Wilshire Blvd Unit 402, Los Angeles, CA 90024;$4,095,000;3;4.5;3,535sqft
1818 Pelham Ave Apt 306, Los Angeles, CA 90025;$1,047,000;2;2.5;1,866sqft
4340 Chase Ave, Los Angeles, CA 90066;$1,399,000;3;1.5;1,322sqft
20611 W Overlook Ct, Porter Ranch, CA 91326;$2,170,288;5;5.5;3,680sqft
351 S Mariposa Ave, Los Angeles, CA 90020;$2,400,000;11;8;7,938sqft
1405 Lomita Blvd Unit 1, Harbor City, CA 90710;$739,000;3;2.5;1,570sqft
840 1/2 W Gage Ave, Los Angeles, CA 90044;$379,500;1;1;450sqft
5376 Fairview Blvd Apt 209, Ladera Heights, CA 90056;$599,999;2;2;1,180sqft
3960 E 6th St, East Los Angeles, CA 90023;$650,000;6;3;1,664sqft
837 N Humphreys Ave, Los Angeles, CA 90022;$628,888;3;2;1,193sqft
3178 Blanchard St, Los Angeles, CA 90063;$750,000;4;2.5;1,067sqft
14200 Polk St Unit 46, Sylmar, CA 91342;$530,000;3;2;1,208sqft
935 N Hudson Ave Apt 201, Los Angeles, CA 90038;$1,249,000;3;3;1,500sqft
9625 Sepulveda Blvd Unit 2, North Hills, CA 91343;$485,000;2;2.5;1,109sqft
1025 Dewey Ave Apt 205, Los Angeles, CA 90006;$650,000;2;2;1,000sqft
17500 Haynes St, Lake Balboa, CA 91406;$899,999;3;2;1,525sqft
6636 Tobias Ave, Van Nuys, CA 91405;$895,000;3;2;1,638sqft
10401 Andasol Ave, Granada Hills, CA 91344;$1,199,000;4;3;2,770sqft
11440 Sproule Ave, Pacoima, CA 91331;$599,999;3;1;881sqft
3700 Arlington Ave, Los Angeles, CA 90018;$1,199,000;4;2;1,560sqft
10904 S Figueroa St, Los Angeles, CA 90061;$845,000;7;5;2,894sqft
6701 Katherine Ave, Van Nuys, CA 91405;$880,000;3;1;1,355sqft
10141 Scoville Ave, Sunland, CA 91040;$1,149,000;3;3;2,133sqft
1618 N Tremont St, Los Angeles, CA 90033;$1,785,000;5;4;1,677sqft
10240 Camarillo St Apt 214, Toluca Lake, CA 91602;$649,950;2;2;1,057sqft
3381 Berry Dr, Studio City, CA 91604;$1,890,000;3;2;2,012sqft
1317 N Benton Way, Los Angeles, CA 90026;$1,635,000;3;2;1,640sqft
1558 Rising Glen Rd, Los Angeles, CA 90069;$7,650,000;3;4.5;4,348sqft
22640 Clarendon St, Woodland Hills, CA 91367;$800,000;2;1;930sqft
4433 Kraft Ave, Studio City, CA 91602;$1,695,000;3;2;1,579sqft
